#Rice_gene_ID_mapping_and_nomenclature
#Column-1: gene_ID
#Column-2: Synonyms, MSU gene and transcript _ID (all separated by semicolon)
#
gene_ID	Synonym_Symbols	Synonyms_MSU_IDs
LOC_Os01g01090	LOC_Os01g01090.1
LOC_Os01g01100	LOC_Os01g01100.1
LOC_Os01g01110	LOC_Os01g01110.1
LOC_Os01g01200	LOC_Os01g01200.1
LOC_Os01g01210	LOC_Os01g01210.1
LOC_Os01g01230	LOC_Os01g01230.1
LOC_Os01g01240	LOC_Os01g01240.1
LOC_Os01g01250	LOC_Os01g01250.1
LOC_Os01g01260	LOC_Os01g01260.1
LOC_Os01g01270	LOC_Os01g01270.1
LOC_Os01g01320	LOC_Os01g01320.1
LOC_Os01g01330	LOC_Os01g01330.1
LOC_Os01g01460	LOC_Os01g01460.1
LOC_Os01g01500	LOC_Os01g01500.1
LOC_Os01g01530	LOC_Os01g01530.1
LOC_Os01g01540	LOC_Os01g01540.1
LOC_Os01g01550	LOC_Os01g01550.1
LOC_Os01g01580	LOC_Os01g01580.1
LOC_Os01g01590	LOC_Os01g01590.1
LOC_Os01g01760	LOC_Os01g01760.1
LOC_Os01g01770	LOC_Os01g01770.1
LOC_Os01g01810	LOC_Os01g01810.1
LOC_Os01g01850	LOC_Os01g01850.1
LOC_Os01g01860	LOC_Os01g01860.1
LOC_Os01g01900	LOC_Os01g01900.1
LOC_Os01g01910	LOC_Os01g01910.1
LOC_Os01g01990	LOC_Os01g01990.1
LOC_Os01g02210	LOC_Os01g02210.1
LOC_Os01g02220	LOC_Os01g02220.1
LOC_Os01g02230	LOC_Os01g02230.1
LOC_Os01g02240	LOC_Os01g02240.1
LOC_Os01g02260	LOC_Os01g02260.1
LOC_Os01g02470	LOC_Os01g02470.1
LOC_Os01g02480	LOC_Os01g02480.1
LOC_Os01g02510	LOC_Os01g02510.1
LOC_Os01g02520	LOC_Os01g02520.1
LOC_Os01g02530	LOC_Os01g02530.1
LOC_Os01g02540	LOC_Os01g02540.1
LOC_Os01g02629	LOC_Os01g02629.1
LOC_Os01g02650	LOC_Os01g02650.1
LOC_Os01g02660	LOC_Os01g02660.1
LOC_Os01g02670	LOC_Os01g02670.1
LOC_Os01g02740	LOC_Os01g02740.1
LOC_Os01g02850	LOC_Os01g02850.1
LOC_Os01g02950	LOC_Os01g02950.1
LOC_Os01g02970	LOC_Os01g02970.1
LOC_Os01g02990	LOC_Os01g02990.1
LOC_Os01g03010	LOC_Os01g03010.1
LOC_Os01g03200	LOC_Os01g03200.1
LOC_Os01g03230	LOC_Os01g03230.1
LOC_Os01g03240	LOC_Os01g03240.1
LOC_Os01g03250	LOC_Os01g03250.1
LOC_Os01g03280	LOC_Os01g03280.1
LOC_Os01g03350	LOC_Os01g03350.1
LOC_Os01g03440	LOC_Os01g03440.1
LOC_Os01g03452	LOC_Os01g03452.1
LOC_Os01g03580	LOC_Os01g03580.1
LOC_Os01g03590	LOC_Os01g03590.1
LOC_Os01g03600	LOC_Os01g03600.1
LOC_Os01g03610	LOC_Os01g03610.1
LOC_Os01g03770	LOC_Os01g03770.1
LOC_Os01g03780	LOC_Os01g03780.1
LOC_Os01g03790	LOC_Os01g03790.1
LOC_Os01g03800	LOC_Os01g03800.1
LOC_Os01g03830	LOC_Os01g03830.1
LOC_Os01g03860	LOC_Os01g03860.1
LOC_Os01g03880	LOC_Os01g03880.1
LOC_Os01g03930	LOC_Os01g03930.1
LOC_Os01g03960	LOC_Os01g03960.1
LOC_Os01g03970	LOC_Os01g03970.1
LOC_Os01g04140	LOC_Os01g04140.1
LOC_Os01g04150	LOC_Os01g04150.1
LOC_Os01g04180	LOC_Os01g04180.1
LOC_Os01g04270	LOC_Os01g04270.1
LOC_Os01g04310	LOC_Os01g04310.1
LOC_Os01g04320	LOC_Os01g04320.1
LOC_Os01g04510	LOC_Os01g04510.1
LOC_Os01g04560	LOC_Os01g04560.1
LOC_Os01g04610	LOC_Os01g04610.1
LOC_Os01g04680	LOC_Os01g04680.1
LOC_Os01g04699	LOC_Os01g04699.1
LOC_Os01g04740	LOC_Os01g04740.1
LOC_Os01g04760	LOC_Os01g04760.1
LOC_Os01g04770	LOC_Os01g04770.1
LOC_Os01g04780	LOC_Os01g04780.1
LOC_Os01g04790	LOC_Os01g04790.1
LOC_Os01g04850	LOC_Os01g04850.1
LOC_Os01g04960	LOC_Os01g04960.1
LOC_Os01g04970	LOC_Os01g04970.1
LOC_Os01g04980	LOC_Os01g04980.1
LOC_Os01g05030	LOC_Os01g05030.1
LOC_Os01g05160	LOC_Os01g05160.1
LOC_Os01g05200	LOC_Os01g05200.1
LOC_Os01g05240	LOC_Os01g05240.1
LOC_Os01g05300	LOC_Os01g05300.1
LOC_Os01g05320	LOC_Os01g05320.1
LOC_Os01g05330	LOC_Os01g05330.1
LOC_Os01g05350	LOC_Os01g05350.1
LOC_Os01g05360	LOC_Os01g05360.1
LOC_Os01g05550	LOC_Os01g05550.1
LOC_Os01g05570	LOC_Os01g05570.1
LOC_Os01g05580	LOC_Os01g05580.1
LOC_Os01g06100	LOC_Os01g06100.1
LOC_Os01g06110	LOC_Os01g06110.1
LOC_Os01g06160	LOC_Os01g06160.1
LOC_Os01g06170	LOC_Os01g06170.1
LOC_Os01g06180	LOC_Os01g06180.1
LOC_Os01g06200	LOC_Os01g06200.1
LOC_Os01g06210	LOC_Os01g06210.1
LOC_Os01g06260	LOC_Os01g06260.1
LOC_Os01g06300	LOC_Os01g06300.1
LOC_Os01g06330	LOC_Os01g06330.1
LOC_Os01g06370	LOC_Os01g06370.1
LOC_Os01g06570	LOC_Os01g06570.1
LOC_Os01g06610	LOC_Os01g06610.1
LOC_Os01g06650	LOC_Os01g06650.1
LOC_Os01g06680	LOC_Os01g06680.1
LOC_Os01g06690	LOC_Os01g06690.1
LOC_Os01g06700	LOC_Os01g06700.1
LOC_Os01g06710	LOC_Os01g06710.1
LOC_Os01g06770	LOC_Os01g06770.1
LOC_Os01g06780	LOC_Os01g06780.1
LOC_Os01g06800	LOC_Os01g06800.1
LOC_Os01g06810	LOC_Os01g06810.1
LOC_Os01g06820	LOC_Os01g06820.1
LOC_Os01g06836	LOC_Os01g06836.1
LOC_Os01g06852	LOC_Os01g06852.1
LOC_Os01g06910	LOC_Os01g06910.1
LOC_Os01g06950	LOC_Os01g06950.1
LOC_Os01g06980	LOC_Os01g06980.1
LOC_Os01g07180	LOC_Os01g07180.1
LOC_Os01g07270	LOC_Os01g07270.1
LOC_Os01g07460	LOC_Os01g07460.1
LOC_Os01g07470	LOC_Os01g07470.1
LOC_Os01g07510	LOC_Os01g07510.1
LOC_Os01g07550	LOC_Os01g07550.1
LOC_Os01g07820	LOC_Os01g07820.1
LOC_Os01g07830	LOC_Os01g07830.1
LOC_Os01g07860	LOC_Os01g07860.1
LOC_Os01g07980	LOC_Os01g07980.1
LOC_Os01g07990	LOC_Os01g07990.1
LOC_Os01g08060	LOC_Os01g08060.1
LOC_Os01g08070	LOC_Os01g08070.1
LOC_Os01g08130	LOC_Os01g08130.1
LOC_Os01g08240	LOC_Os01g08240.1
LOC_Os01g08350	LOC_Os01g08350.1
LOC_Os01g08390	LOC_Os01g08390.1
LOC_Os01g08480	LOC_Os01g08480.1
LOC_Os01g08500	LOC_Os01g08500.1
LOC_Os01g08590	LOC_Os01g08590.1
LOC_Os01g08610	LOC_Os01g08610.1
LOC_Os01g08630	LOC_Os01g08630.1
LOC_Os01g08640	LOC_Os01g08640.1
LOC_Os01g08720	LOC_Os01g08720.1
LOC_Os01g08730	LOC_Os01g08730.1
LOC_Os01g08740	LOC_Os01g08740.1
LOC_Os01g08820	LOC_Os01g08820.1
LOC_Os01g08870	LOC_Os01g08870.1
LOC_Os01g08890	LOC_Os01g08890.1
LOC_Os01g09050	LOC_Os01g09050.1
LOC_Os01g09060	LOC_Os01g09060.1
LOC_Os01g09090	LOC_Os01g09090.1
LOC_Os01g09110	LOC_Os01g09110.1
LOC_Os01g09160	LOC_Os01g09160.1
LOC_Os01g09170	LOC_Os01g09170.1
LOC_Os01g09180	LOC_Os01g09180.1
LOC_Os01g09206	LOC_Os01g09206.1
LOC_Os01g09212	LOC_Os01g09212.1
LOC_Os01g09240	LOC_Os01g09240.1
LOC_Os01g09270	LOC_Os01g09270.1
LOC_Os01g09290	LOC_Os01g09290.1
LOC_Os01g09305	LOC_Os01g09305.1
LOC_Os01g09330	LOC_Os01g09330.1
LOC_Os01g09340	LOC_Os01g09340.1
LOC_Os01g09400	LOC_Os01g09400.1
LOC_Os01g09440	LOC_Os01g09440.1
LOC_Os01g09480	LOC_Os01g09480.1
LOC_Os01g09490	LOC_Os01g09490.1
LOC_Os01g09520	LOC_Os01g09520.1
LOC_Os01g09530	LOC_Os01g09530.1
LOC_Os01g09600	LOC_Os01g09600.1
LOC_Os01g09610	LOC_Os01g09610.1
LOC_Os01g09650	LOC_Os01g09650.1
LOC_Os01g09680	LOC_Os01g09680.1
LOC_Os01g09710	LOC_Os01g09710.1
LOC_Os01g09720	LOC_Os01g09720.1
LOC_Os01g09810	LOC_Os01g09810.1
LOC_Os01g09930	LOC_Os01g09930.1
LOC_Os01g09950	LOC_Os01g09950.1
LOC_Os01g09960	LOC_Os01g09960.1
LOC_Os01g09970	LOC_Os01g09970.1
LOC_Os01g10000	LOC_Os01g10000.1
LOC_Os01g10060	LOC_Os01g10060.1
LOC_Os01g10120	LOC_Os01g10120.1
LOC_Os01g10160	LOC_Os01g10160.1
LOC_Os01g10170	LOC_Os01g10170.1
LOC_Os01g10200	LOC_Os01g10200.1
LOC_Os01g10300	LOC_Os01g10300.1
LOC_Os01g10380	LOC_Os01g10380.1
LOC_Os01g10390	LOC_Os01g10390.1
LOC_Os01g10410	LOC_Os01g10410.1
LOC_Os01g10420	LOC_Os01g10420.1
LOC_Os01g10560	LOC_Os01g10560.1
LOC_Os01g10650	LOC_Os01g10650.1
LOC_Os01g10700	LOC_Os01g10700.1
LOC_Os01g10710	LOC_Os01g10710.1
LOC_Os01g10720	LOC_Os01g10720.1
LOC_Os01g10750	LOC_Os01g10750.1
LOC_Os01g10910	LOC_Os01g10910.1
LOC_Os01g10920	LOC_Os01g10920.1
LOC_Os01g11000	LOC_Os01g11000.1
LOC_Os01g11020	LOC_Os01g11020.1
LOC_Os01g11080	LOC_Os01g11080.1
LOC_Os01g11140	LOC_Os01g11140.1
LOC_Os01g11190	LOC_Os01g11190.1
LOC_Os01g11320	LOC_Os01g11320.1
LOC_Os01g11330	LOC_Os01g11330.1
LOC_Os01g11360	LOC_Os01g11360.1
LOC_Os01g11390	LOC_Os01g11390.1
LOC_Os01g11400	LOC_Os01g11400.1
LOC_Os01g11450	LOC_Os01g11450.1
LOC_Os01g11470	LOC_Os01g11470.1
LOC_Os01g11480	LOC_Os01g11480.1
LOC_Os01g11640	LOC_Os01g11640.1
LOC_Os01g11680	LOC_Os01g11680.1
LOC_Os01g11690	LOC_Os01g11690.1
LOC_Os01g11704	LOC_Os01g11704.1
LOC_Os01g11770	LOC_Os01g11770.1
LOC_Os01g11800	LOC_Os01g11800.1
LOC_Os01g11830	LOC_Os01g11830.1
LOC_Os01g11840	LOC_Os01g11840.1
LOC_Os01g11870	LOC_Os01g11870.1
LOC_Os01g12010	LOC_Os01g12010.1
LOC_Os01g12040	LOC_Os01g12040.1
LOC_Os01g12060	LOC_Os01g12060.1
LOC_Os01g12120	LOC_Os01g12120.1
LOC_Os01g12140	LOC_Os01g12140.1
LOC_Os01g12170	LOC_Os01g12170.1
LOC_Os01g12240	LOC_Os01g12240.1
LOC_Os01g12310	LOC_Os01g12310.1
LOC_Os01g12340	LOC_Os01g12340.1
LOC_Os01g12350	LOC_Os01g12350.1
LOC_Os01g12360	LOC_Os01g12360.1
LOC_Os01g12374	LOC_Os01g12374.1
LOC_Os01g12500	LOC_Os01g12500.1
LOC_Os01g12510	LOC_Os01g12510.1
LOC_Os01g12590	LOC_Os01g12590.1
LOC_Os01g12600	LOC_Os01g12600.1
LOC_Os01g12610	LOC_Os01g12610.1
LOC_Os01g12630	LOC_Os01g12630.1
LOC_Os01g12790	LOC_Os01g12790.1
LOC_Os01g12850	LOC_Os01g12850.1
LOC_Os01g12990	LOC_Os01g12990.1
LOC_Os01g13010	LOC_Os01g13010.1
LOC_Os01g13180	LOC_Os01g13180.1
LOC_Os01g13330	LOC_Os01g13330.1
LOC_Os01g13500	LOC_Os01g13500.1
LOC_Os01g13510	LOC_Os01g13510.1
LOC_Os01g13620	LOC_Os01g13620.1
LOC_Os01g13630	LOC_Os01g13630.1
LOC_Os01g13640	LOC_Os01g13640.1
LOC_Os01g13650	LOC_Os01g13650.1
LOC_Os01g13670	LOC_Os01g13670.1
LOC_Os01g13820	LOC_Os01g13820.1
LOC_Os01g13840	LOC_Os01g13840.1
LOC_Os01g13890	LOC_Os01g13890.1
LOC_Os01g13900	LOC_Os01g13900.1
LOC_Os01g13920	LOC_Os01g13920.1
LOC_Os01g13960	LOC_Os01g13960.1
LOC_Os01g13970	LOC_Os01g13970.1
LOC_Os01g13980	LOC_Os01g13980.1
LOC_Os01g13990	LOC_Os01g13990.1
LOC_Os01g14000	LOC_Os01g14000.1
LOC_Os01g14060	LOC_Os01g14060.1
LOC_Os01g14120	LOC_Os01g14120.1
LOC_Os01g14160	LOC_Os01g14160.1
LOC_Os01g14170	LOC_Os01g14170.1
LOC_Os01g14190	LOC_Os01g14190.1
LOC_Os01g14200	LOC_Os01g14200.1
LOC_Os01g14210	LOC_Os01g14210.1
LOC_Os01g14240	LOC_Os01g14240.1
LOC_Os01g14250	LOC_Os01g14250.1
LOC_Os01g14260	LOC_Os01g14260.1
LOC_Os01g14290	LOC_Os01g14290.1
LOC_Os01g14360	LOC_Os01g14360.1
LOC_Os01g14450	LOC_Os01g14450.1
LOC_Os01g14460	LOC_Os01g14460.1
LOC_Os01g14470	LOC_Os01g14470.1
LOC_Os01g14570	LOC_Os01g14570.1
LOC_Os01g14620	LOC_Os01g14620.1
LOC_Os01g14730	LOC_Os01g14730.1
LOC_Os01g14750	LOC_Os01g14750.1
LOC_Os01g14770	LOC_Os01g14770.1
LOC_Os01g14780	LOC_Os01g14780.1
LOC_Os01g14800	LOC_Os01g14800.1
LOC_Os01g14900	LOC_Os01g14900.1
LOC_Os01g14910	LOC_Os01g14910.1
LOC_Os01g15070	LOC_Os01g15070.1
LOC_Os01g15080	LOC_Os01g15080.1
LOC_Os01g15090	LOC_Os01g15090.1
LOC_Os01g15150	LOC_Os01g15150.1
LOC_Os01g15170	LOC_Os01g15170.1
LOC_Os01g15180	LOC_Os01g15180.1
LOC_Os01g15190	LOC_Os01g15190.1
LOC_Os01g15200	LOC_Os01g15200.1
LOC_Os01g15229	LOC_Os01g15229.1
LOC_Os01g15240	LOC_Os01g15240.1
LOC_Os01g15280	LOC_Os01g15280.1
LOC_Os01g15370	LOC_Os01g15370.1
LOC_Os01g15380	LOC_Os01g15380.1
LOC_Os01g15420	LOC_Os01g15420.1
LOC_Os01g15438	LOC_Os01g15438.1
LOC_Os01g15510	LOC_Os01g15510.1
LOC_Os01g15550	LOC_Os01g15550.1
LOC_Os01g15620	LOC_Os01g15620.1
LOC_Os01g15650	LOC_Os01g15650.1
LOC_Os01g15690	LOC_Os01g15690.1
LOC_Os01g15700	LOC_Os01g15700.1
LOC_Os01g15720	LOC_Os01g15720.1
LOC_Os01g15740	LOC_Os01g15740.1
LOC_Os01g15750	LOC_Os01g15750.1
LOC_Os01g15760	LOC_Os01g15760.1
LOC_Os01g15880	LOC_Os01g15880.1
LOC_Os01g15890	LOC_Os01g15890.1
LOC_Os01g15934	LOC_Os01g15934.1
LOC_Os01g15960	LOC_Os01g15960.1
LOC_Os01g16050	LOC_Os01g16050.1
LOC_Os01g16070	LOC_Os01g16070.1
LOC_Os01g16130	LOC_Os01g16130.1
LOC_Os01g16160	LOC_Os01g16160.1
LOC_Os01g16270	LOC_Os01g16270.1
LOC_Os01g16280	LOC_Os01g16280.1
LOC_Os01g16300	LOC_Os01g16300.1
LOC_Os01g16360	LOC_Os01g16360.1
LOC_Os01g16440	LOC_Os01g16440.1
LOC_Os01g16460	LOC_Os01g16460.1
LOC_Os01g16480	LOC_Os01g16480.1
LOC_Os01g16490	LOC_Os01g16490.1
LOC_Os01g16500	LOC_Os01g16500.1
LOC_Os01g16560	LOC_Os01g16560.1
LOC_Os01g16570	LOC_Os01g16570.1
LOC_Os01g16580	LOC_Os01g16580.1
LOC_Os01g16590	LOC_Os01g16590.1
LOC_Os01g16690	LOC_Os01g16690.1
LOC_Os01g16700	LOC_Os01g16700.1
LOC_Os01g16780	LOC_Os01g16780.1
LOC_Os01g16790	LOC_Os01g16790.1
LOC_Os01g16800	LOC_Os01g16800.1
LOC_Os01g16820	LOC_Os01g16820.1
LOC_Os01g17030	LOC_Os01g17030.1
